id	label
MmusDv:0000101	28 weeks
MmusDv:0000102	29 weeks
MmusDv:0000112	premature stage
MmusDv:0000113	4-7 days
MmusDv:0000016	neurula stage
MmusDv:0000030	post-embryonic developmental stage
MmusDv:0000037	Theiler stage 28
MmusDv:0000038	infant stage
MmusDv:0000039	adolescent stage
MmusDv:0000040	adult stage
MmusDv:0000041	unknown
MmusDv:0000044	1-7 days
MmusDv:0000045	1 week
MmusDv:0000046	2 weeks
MmusDv:0000047	3-week-old stage
MmusDv:0000048	4 weeks
MmusDv:0000049	5 weeks
MmusDv:0000050	6 weeks
MmusDv:0000051	7 weeks
MmusDv:0000052	8 weeks
MmusDv:0000053	9 weeks
MmusDv:0000054	10 weeks
MmusDv:0000055	11 weeks
MmusDv:0000056	12 weeks
MmusDv:0000057	13 weeks
MmusDv:0000058	14 weeks
MmusDv:0000059	15 weeks
MmusDv:0000061	early adult stage
MmusDv:0000065	16 weeks
MmusDv:0000066	17 weeks
MmusDv:0000067	18 weeks
MmusDv:0000068	19 weeks
MmusDv:0000070	20 weeks
MmusDv:0000071	21 weeks
MmusDv:0000072	22 weeks
MmusDv:0000073	23 weeks
MmusDv:0000074	24 weeks
MmusDv:0000075	middle aged stage
MmusDv:0000076	aged adult stage
MmusDv:0000096	early immature stage
MmusDv:0000097	late adult stage
MmusDv:0000098	25 weeks
MmusDv:0000099	26 weeks
MmusDv:0000100	27 weeks
